% 1. Title: Trajetórias Manipuladas - As Originais
% 
% 2. Sources:
%      (a) Creator: Marcel Tolentino Pinheiro de Oliveira
%      (b) Date: June, 2013
% 
@RELATION trajectory

@ATTRIBUTE collar  STRING
@ATTRIBUTE longitude  NUMERIC
@ATTRIBUTE latitude   NUMERIC
@ATTRIBUTE day DATE "dd/MM/yy"
@ATTRIBUTE hour DATE "HH:mm:ss"

@DATA
0004,-054.7227049999999999,-20.442965,27/05/09,07:31:39
0004,-054.722795,-20.442895,27/05/09,07:45:11
0004,-054.722665,-20.44295500000000004,27/05/09,07:59:59
0004,-054.7226966666666667,-20.44275333333333333,27/05/09,08:14:55
0004,-054.722745,-20.44297,27/05/09,08:30:06
0004,-054.7228033333333334,-20.44295666666666667,27/05/09,08:45:08
0004,-054.7227049999999999,-20.44300666666666666,27/05/09,08:59:56
0004,-054.7226566666666667,-20.44288500000000003,27/05/09,09:15:06
0004,-054.7226883333333334,-20.44295666666666667,27/05/09,09:29:56
0004,-054.7225916666666666,-20.44302499999999995,27/05/09,09:45:01
0004,-054.7226566666666667,-20.44300666666666666,27/05/09,10:00:57
0004,-054.7227616666666666,-20.4432033333333333,27/05/09,10:14:59
0004,-054.7228600000000001,-20.443255,27/05/09,10:29:50
0004,-054.722665,-20.44288,27/05/09,10:45:06
0004,-054.7226966666666667,-20.4430116666666667,27/05/09,10:59:48
0004,-054.7226,-20.4429883333333333,27/05/09,11:14:55
0004,-054.7226966666666667,-20.4429166666666667,27/05/09,11:29:55
0004,-054.7225833333333332,-20.4428016666666667,27/05/09,11:44:59
0004,-054.7226316666666667,-20.44299666666666665,27/05/09,12:00:35
0004,-054.7225666666666667,-20.44289,27/05/09,12:15:10
0004,-054.722665,-20.44303166666666666,27/05/09,12:29:57
0004,-054.7226400000000001,-20.44294833333333333,27/05/09,12:44:58
0006,-054.7226066666666667,-20.4434916666666667,17/03/09,14:12:09
0006,-054.7226883333333334,-20.4438583333333333,17/03/09,14:16:47
0006,-054.7226733333333333,-20.44385,17/03/09,14:20:49
0006,-054.7226400000000001,-20.44389500000000004,17/03/09,14:25:50
